Premise	Hypothesis	Label
student developed a Web-business  He set up a site, which uses an algorithm to tell guys where to take a date, by convincing venture capitalists to front money, hiring tech experts to write code, working 17-hour days, and bedecking his offices with inspirational quotes.	The student did many things to develop a web business. 	entailment
To the right the walls are carved with scenes from the life of Queen Hatshepsut including her divine birth where her mother is shown being attended by Heket, the frog-headed midwife god, watched over by Amun himself.	There were no carvings on any of the walls.	contradictory
Ours is the only solar system we know in detail, however, and it has been reasonable for us to assume that these were the _only_ two planetary classes."	We cannot assume there are only two classes.	contradictory
We are in the condition of people holding a seance.	The seance was put off until next week.	contradictory
Some might even take a sketchpad instead, or a paperback volume of Homer.	There are some paperback volumes of Homer that were published.	entailment
The capital's smartest and most expensive boutiques (even if you're not buying, they're worth window-shopping just for the superb displays) are conveniently concentrated in a compact pedestrian area around Via Condotti at the foot of the Spanish Steps.	There are boutiques in a pedestrian area around Via Condotti.	entailment
The protocols have been revised in those areas to reflect the 	No revisions have been made to the protocols.	contradictory
Afraid to leave the project, to cross into another	Staying on the project out of fear.	entailment
While many of GAO's contributions cannot be quantified in dollar terms, those that can be quantified show that GAO returned over $57 for every $1 appropriated to the agency in fiscal year 1999.	There were no donations to us in the year.	contradictory
and i just signed up for it	I do not want anything to do with it.	contradictory
FDA concluded that the rule will have a significant impact on a substantial number of small entities.	The FDA found no significant impact issues regarding the new proposition.	contradictory
It's all shiny silver or something."  	It is shiny silver or something.	entailment
Also, through the appointment and confirmation process, the Senate has an added opportunity to make clear its commitment to sound federal management and explore what prospective nominees plan to do to ensure that their agencies are well-managed and striving to be high-performing organizations.	The Senate has made clear its committment through the appointment.	entailment
and uh so i've been debating of whether or not just to cut out the dead portions or you know just to take it all out and i think i've pretty well decided just to take it all out and start all over again	I decided to just get rid of the dead parts, and hope that what is left will grow well.	contradictory
They said that each agency needed to develop systems appropriate for their particular circumstances and that there were no data indicating that the current lack of standardization was a problem, or that standardization would improve either the quantity or the quality of the participation that agencies receive during the rulemaking process.	They announced that every agency would have to design systems for their own circumstances.	entailment
--Andrew Pink curtains!	There are green curtains.	contradictory
He has served as President of the Hispanic National Bar Association, Chairman of the Board of Directors of the Philadelphia Bar Association and a member of the House of Delegates of the American Bar Association.	He has occupied important roles such as president and chairman in Bar Association organizations.	entailment
The spiral of bronze bas-reliefs on the Vend??me column, commemorating Napoleon's victories and topped by a statue of the emperor himself, was cast from 1,250 cannons captured from the Austrians at Austerlitz.	Austrians were responsible for casting the cannons.	entailment
When incurred, they are treated as expenses in determining the net costs of operations.	When determining the net costs of operations, they should not be included as expenses.	contradictory
He heard the tractors and bulldozers moving along the narrow cliff above him, but he was used to the sound.	He was used to the noise of the bulldozers and tractors moving along the cliff above him.	entailment
The Age of Enlightenment engendered a new cultural ferment.	Cultures changed during the Age of Enlightenment.	entailment
AMERICAN BAR ASSOCIATION, STUDY OFFEDERALLY FUNDED LEGAL AID FORMIGRANT FARMWORKERS (1993).	Federally funded legal aid for migrant workers was the subject of a 1993 study.	entailment
yeah as long as Troy  Aikman doesn't get hurt again that kind of killed them at the end of the season last year	If he gets hurt again, that's going to be great.	contradictory
They shared tales and laughed.	They were telling tales and laughing. 	entailment
yeah these were young kids too they couldn't have been out of middle school	Those involved were middle school age.	entailment
Charles Schulz need not fear death.	Charles Schulz doesn't need to fear death.	entailment
But if it's all so easy, how can a large part of the world be in the mess it's in?	You can tell that it is easy, given how the world is such a perfect place.	contradictory
yeah i'm trying to think what i've seen lately i mean well well we just finished watching uh Teenage Mutant Ninja Turtles on tape you know	I have just watched Teenage Mutant Ninja Turtles.	entailment
i mean that's that's what it what it boils down to is people like to say you know people say well i don't want to be on jury you know i don't want to serve on jury duty i don't want to vote i don't want to do this and that well then they could you know i put them in the reverse situation in the place where they don't have the right to be on jury duty and and they don't have the right to vote i suspect their opinions would change very quickly	I think that if people lost their right to vote because they didn't want to do jury duty, their opinion would quickly change.	entailment
He lay awake staring at the beams of his wooden roof where a spider spun a thin web of silk.	The cabin had a flat white roof.	contradictory
that the auditors expect to develop.	The auditors have expectations to develop that.	entailment
Two trading zones are established, and, only allowances allocated or auctioned for a given zone may be used by facilities within that zone to meet the requirement to hold allowances covering emissions.	There have been two established zones and they are used primarily for exporting.	contradictory
It was a strong business.	It was a weak business.	contradictory
Since Japan's Shinto deities are believed to permeate the natural surroundings in this case, a beautiful cedar forest the man-made shrine is just there for the fleeting present moment.	Forests can be home to Shinto deities.	entailment
Specifically, this report addresses the following  (1) What is personal saving, how is it related to national saving, and what are the implications of low personal saving for Americans' retirement security?	This report addresses how personal savings is related to national savings.	entailment
Guess whoever did it thought Johnny was wolf meat, jus' took his hoss an' left him there.	Suppose whoever did it thought Johnny was dead, took his horse, and left him.	entailment
This brings soft money and other much criticized practices under scrutiny.	This brings soft money and other much criticized practices into much celebration.	contradictory
Not aunt, but auntie, mother said.	Mother told me to say aunt.	contradictory
oh isn't that fun only people from there can tell everyone else is where did you get that weird accent	No one knows what that accent is.	contradictory
'After all,' she'd said, 'I can have these legs all fixed up far before you actually need to use them again.'	I can repair you legs.	entailment
The funds are part of about $2.	The funds add up to $2.	entailment
yeah yeah yeah yeah that is he just brings stuff alive you know you could just visualize everything that's	He is talented at making his work feel real.	entailment
And the libertarian's.	Also, the democrats.	contradictory
The preambles to the proposed rules contained the required information regarding the reasons for the collections, the parties affected, and the estimated annual burden hours.	Reasons for collection are proposed within the preamble.	entailment
'But...the two of you...' Daniel shook his head.	Daniels head was moving as he spoke.	entailment
um yeah but not the same type of contests um	Yes, but different types of contests.	entailment
Still, it cannot be helped, it is only a matter of waiting until the morning." He looked across at the inert figure on the bed.	He said that there was nothing to do but wait until morning.	entailment
Our review indicates that the agencies, except as noted above, complied with the applicable requirements.	Agencies complied with pertinent requirements.	entailment
yeah we i was looking through a photo album not long ago and they had had some pictures and things in there of Knox	There were no pictures of Knox in the photo album.	contradictory
Wheat is planted as a winter crop in the paddies, and garden plots supply maize, chilies, and vegetables.	Garden plots supply vegetables, chilies and maizes, and wheat is planted as a winter crop in the paddles.	entailment
It shows only that California's own bilingual education system is unpopular, dissents Clarence Page ( The McLaughlin Group ), and says nothing about other states' programs.	The bilingual education system in California is extremely popular.	contradictory
 He managed to dig a small hollow in the sand before dropping off to sleep.	He fell asleep after digging a shallow hole in the sand.	entailment
To build an organization that attracts and retains talent, the CFO and senior executives 	To build an organization to bring in and keep talent. 	entailment
The Paris basin is a treasury of national monuments.	National monuments can be found in Paris and the surrounding areas.	entailment
so i don't have to fool with any of it no	No I don't have to fool with any of it	entailment
so i don't know well do you have anything else you want to say on this	Do you have anything more to say.	entailment
Now that she had been proved justified in so tragic a manner, I felt ashamed. 	I experienced much happiness at the results.	contradictory
yeah i had a uh a uh sixteen foot hundred and nine horse power cylinder one and i i had that for two or three years and then i traded it for a eighteen foot uh two hundred and twenty horsepower V eight	My new engine is much more powerful than my old one -- nearly twice as strong!	entailment
The little identifying cards psychologist Gordon sets beside each item display an impressive mastery of the manipulative arts.	Gordon is a psychopath so he wants to mess with people using cards.	contradictory
We wonder if they, too, would feel uncomfortable with our differences made so plainly apparent.	We debate whether being so obviously different will make them uneasy.	entailment
if they'd been anywhere else i don't you know i don't care where it was anywhere in the United States they could have played but beings they was in Louisville they couldn't play	They would not have been able to play no matter where they were.	contradictory
 They lost a few mandrakes in prying loose some of the sun material, and more in getting a small sphere of it shaped.	Fortunately, their mandrakes remained intact after prying for sun material.	contradictory
Several mummies were found here when archaeologists opened it, leading to a much-improved understanding of the genealogy of the various dynasties.	Archaeologists learned a great deal about the dynasties after discovering several mummies here.	entailment
A high official in the court of Amenophis IV, he began to prepare an elaborate resting place decorated with fine bas-reliefs.	No preparations were made to receive the body of Amenophis IV.  	contradictory
Grassmarket has a memorial to the Covenanters (Scottish Protestant clergymen) martyred by Catholic Stuart kings in the 17th century.	There is a memorial for the Scottish Protestant clergymen in Grassmarket.	entailment
Among the disaster programs available are temporary housing assistance, individual and family grants, low interest Small Business Administration loans, disaster un-employment assistance and crisis counseling.	There are disaster programs available.	entailment
they don't mash  they don't compress at all and they stay forever	They're unable to be squashed together and they don't go away.	entailment
As new products with recommendations are released, their recommendations are incorporated into the database.	Recommendations are included in the database as they are released with new products.	entailment
Insufficiently rewarded for relaxing their standards, they relax their standards insufficiently.	They don't relax their standards enough because they don't feel appreciated for doing so.	entailment
In fact, as long as sources can be persuaded to supply the information for free, there's more money for those of us who repackage it for public consumption.	No sources can be persuaded to give the information up.	contradictory
you slowly feed out more and more	Just release it all at once.	contradictory
Reed, on the other hand, will see his credibility increase.	Reed's credibility and reputation are currently in free-fall. 	contradictory
right now they've got that Katherine Hepburn one where she's touring all the gardens of Europe i of course have missed the first series of that but that's about the only thing that i really catch on PBS	I watched the first series.	contradictory
we ought to head out	You should go in.	contradictory
uh is that uh i'm sorry that's	I shouldn't have to apologize because I don't even care what that is.	contradictory
It is only one hour from Paris by TGV and is the ideal gateway for a tour of the vineyards to the south or a drive around the pretty Val-Suzon to the north.	It takes two hours to get to the vineyards to the south of by TGV from Paris.	contradictory
Meaning no disrespect, sir," said Severn.	Severn spoke to the man.	entailment
Today, leading finance organizations are focusing more on internal customer requirements by providing products and services that directly support strategic decisionmaking and ultimately improve overall business performance.	Financial firms now offer internally focused products that help improve business success.	entailment
What might have been a one-trauma-after-another chronicle of loss and divorce, says Walter Kirn in the New York Times Book Review , becomes instead a hard and shining artifact of personal and social upheaval.	Divorce can be an artifact of personal and social upheaval.	entailment
Still, there's a certain irony in Grove's ascent to elder statesman, because the idea of him as shaper of the future makes it easy to miss how much Grove and Intel were products of what's now described as the corporate past.	It is worth noting that that the goods of today were mentioned in the past by the corporations.	entailment
uh not that i can think of um i think i'm under my quota a little bit i need it if i if i make a phone call or two	I've exceeded my quota. 	contradictory
um-hum yeah the first project project i started out one was a big one it was uh it was of a lady and she was kneeling and it was about fifteen by twenty maybe	The first project I began was about fifteen by twenty and it was of a kneeling woman.	entailment
Which one you wish, senor? Teodoro Trinfan, rope in hand, stood there ready to cast for one of the milling colts.	Teodoro refused to give the man any of his horses. 	contradictory
Palaces let animated avatars--characters Netizens create for themselves--interact in a graphic environment.	Palaces forbid letting virtual characters netizens create for themselves interact in a virtual environment.	contradictory
And regardless of who supports them, these guys have a lot of expertise to offer, don't they?	They don't know about anything.	contradictory
i mean usually if something if someone robs in the night or something and uh a home owner confronts him i mean it's not a blaze of guns and stuff you know the guy might hit the guy over the head and people start running i mean if this happened in the city the i'm sure the youth would be armed and just take the family out	There are always shootings involved in home invasions.	contradictory
Main Courses	Main food dishes.	entailment
For example, the home page of both DOL and the Occupational Safety and Health Administration (OSHA) within DOL pointed to a separate web site for OSHA's November 1999 proposed rule on ergonomics, which pulled together in one place all of the electronic information related to this rulemaking (e.g.	Neither DOL nor OSHA have had websites before.	contradictory
Jon turned and fired twice out of the cave's entrance.	Jon hid inside the cave instead of fighting.	contradictory
Don't worry about the risk to endangered animal species most Egyptian ivory is camel or donkey bone, not elephant tusk.	Camel and donkey bones are sometimes used for making ivory.	entailment
did they have some pretty good campsites up there	They don't have any campsites.	contradictory
'A biographer.	A writer.	entailment
Much of this vulnerability may eventually be neutralized by encryption and other tricks.	It is necessary to develop security technologies like encryption to patch vulnerabilities.	entailment
in in a room do you know what my concern is how will i dust this thing  i'm terrible	I dust it once or twice a week and it's very easy.	contradictory
oh oh uh well it was really my ex who did the the uh uh the cooking back when we first started	My ex always cooked before.	entailment
It's a mystical town, older than the old empire, where wizards pull fish from caverns so deep in the earth that the water in which they live boils.	No fish exist anymore.	contradictory
The auctions must be open to any person, and there will not be any minimum price set for the auctions.	There won't be any baseline price for the auctions of it was open to everyone.	entailment
really you know i bet that's why we have some friends that eat only i just took this Amish bread out of the oven man it's going to be good i had a starter that friend of mine made anyway uh i had a friend that read a book on that and um i've all my relatives my mom you know you probably read Back To Eden or something i don't know  we read a lot i know people have read all those books but the um they drilled they drilled a well i don't know how many feet but it's three or four times deeper than it needed to be	i just finished baking some bread that's going to taste delicious	entailment
Slate on Paper , e-mailed each Friday, is a text-only compilation of most of what Slate has published during the week.	Slate on Paper is delivered straight to your house every week.	contradictory
Clinton used the Reserve Officers Training Corps to escape the draft, then backed out and never served in the ROTC.	Clinton used the Reserve Officers Training Corps to dodge the draft.	entailment
Homeland  Title III of the Homeland Security Act of 2002 ( GAO- 02-927T, July 9, 2002)	The act was replaced in 2002.	contradictory
The Istana Kesultanan Melayu (Malay Sultanate Palace) stands as a cultural museum amid elegant gardens north of the Porta da Santiago.	The Istana Kesultanan Melayu can be found south of the Porta de Santiago.	contradictory
Facing the direction of both the port city of Jaffa and Jerusalem's New City Jaffa Gate is the traditional entrance for Western visitors to the Old City	The Jaffa Gate of the New City is the traditional entrance for foreign visitors.	entailment
That would cause a sensation, Mr. Saatchi!	Mr. Saatchi, that would cause a big sensation.	entailment
South of Tokeiji, on the way to Kamakura's center, are Meigetsu-in and Jochiji, Zen temples with especially fine gardens.	On the way to Kamakura's center, South of Tokeiji are Meigetsu-in and Jochiji, Zen temples with especially fine gardens.	entailment
Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center.	We did not do any work at the IRS.	contradictory
Festivals in these villages, if you can find the right day and hour, are even more riotous and welcoming than those in the cities.	Festivals in these villages are even more nice and welcoming than those in the cities if you find the right day and time.	entailment
Hastings, this affair is very deep."	The affair couldn't be more shallow than this.	contradictory
oh i don't know i haven't been i i hope the computer keeping track of them because i'm not well	Hopefully the computer is keeping track of them.	entailment
A hill above the theat er is where archaeologists found the Winged Victory of Samothrakia now in the Louvre in Paris.	The Winged Victory of Samothrakia, now in the Louvre in Paris, was found in a hill above the theater.	entailment
The Ibicencos fortified the bulwarks and built additional towers and fortresses throughout to help shield themselves against enemy incursions.	The Ibicencos tore down the bulwarks, towers and fortresses to welcome the enemy with open arms.	contradictory
Lifeboats have been constructed for the top dozen employees.	Rowboats go gently down the stream.	contradictory
i like comedies and i like sitcoms i like to watch TV for escape i'm not much interested in	Watching a sitcom or comedy on TV allows me to escape.	entailment
we don't have the money for that	We can't afford it as we don't have the budget.	entailment
This is subject to legal and privacy considerations, such as those concerning	There are no legal concerns associated with this discussion.	contradictory
3 Claims of  Many recent and proposed exhumations have sought to prove that elites and historians have conspired to withhold the truth about murders and assassinations.	No recent exhumations have aimed to prove that elites and historians conspired to conceal the truth about murders.	contradictory
Aside from the general access statute, various forms of special legislation govern GAO's access to certain types of agency records and information, such as tax, social security, financial institution, and employee benefit plan records and information.	GAO can access of the information from state, but has to go through various forms of special legislation.	entailment
If you like early nights and lazy days, you'll enjoy La Desirade, home to 1,600 farmers and fishermen, but just a few hotel rooms.	La Desirade is bustling and busy.	contradictory
and i asked him uh what are you doing with that he says my father gave it to me and i didn't believe it for a minute	When I asked him why he had it, he lied and said he got it from his father.	entailment
They have been made to feel by the abuser that no one is going to help them do anything, so when they come to us they are desperate, she said. 	The abuser makes them feel isolated.	entailment
GSA officials told us that they do not collect such data.	The GSA officials were happy to give us their files with the data.	contradictory
well you were in Peru	You have never been to Peru.	contradictory
so see it's really strange	It's really weird	entailment
and uh in order for this company to survive they've had to uh in their area start sponsoring their own recycling centers	They started sponsoring centers just to stay afloat.	entailment
Even when Realpolitik led the United States to side with dictators and oppressors, it was in the service of maximizing democracy and human rights in the world at large--a goal we in fact achieved.	The United States has never sided with dictators or oppressors.	contradictory
Recently I asked a neighbor how I could keep my plants alive when I went home for three weeks.	I asked my neighbor if he could leave for me because I had to stay to take care of my plants.	contradictory
He's a freakish Peter Pan--the juvenile delinquent who wouldn't grow up.	He always acts very seriously and has never behaved childishly.	contradictory
This is the spot where Mary Magdalene is believed to have discovered the resurrection of Jesus.	Mary is believed to have found Jesus here.	entailment
The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.	The vineyards are located along a narrow 75-mile-long strip between Marlenheim and Thann.	entailment
There are spies all round us.	There are no spies around us.	contradictory
First built in 1737 and rebuilt in 1816, it holds the distinction of once being under the musical direction of Gioacchino Rossini (1815 1822) and still possessing some of the finest acoustics in Europe.	Gioacchino Rossini was a musical director.	entailment
haircut for spending on programs other than Social Security, Medicare, and Medicaid.	People are known to spend money on haircut rather than the necessities.	entailment
well i understand that this is the last season for it	From what I understand there won't be any more seasons after this one.	entailment
South, on 25 August Street (Odes 25 Avgoustou), you will see the impressive faaade of the Venetian Loggia, originally dating from 1628 but reconstructed after a later earthquake.	The Venetian Loggia has been standing in the same place, undisturbed and unaltered, since 1628.	contradictory
when it gets to be a hundred degrees every day for a month and a half	The temperature is gonna stay pretty cool all year round. 	contradictory
For purposes of small changes, it was assumed to be horizontal in the previous part of this paper.	It was assumed that it was horizontal for the purpose of small changes.	entailment
Idiot, says Alan Dershowitz on Late Edition . He forfeited attorney-client confidentiality and thereby compromised his client's rights by volunteering too much of his conversations with Lewinsky on the shows.	Alan Dershowitz thinks that Lewinsky's legal counsel handled her case and themselves professionally and made no mistakes.	contradictory
Jon saw the shadow of the first horse and the white sharp teeth of the first rider shining in the night.	It was midday.	contradictory
The important thing was to have the emperor's sanction for the regent's political decisions.	The emperor's sanction for the regent's decisions was the important thing.	entailment
The man scanned the room as the dark rider had scanned the tent city.	A man looked carefully around the room.	entailment
In 1995, however, GSA established a voluntary gainsharing program under which employees who use free tickets awarded for official travel miles or secure lodging at less than the established lodging rates can receive cash awards of up to half the amount saved for the government.	The GSA created a special reward where employees who saved cash on travel expenses were given half of the money saved.	entailment
oh goodness okay is our five minutes up	Is our hour up?	contradictory
Some of them became leaders in the effort to maintain affirmative action in California.	None of them became leaders in the effort to maintain affirmative action in California.	contradictory
('We're going to steal the Internet's thunder!	The Internet will not know who we are.	contradictory
The numbers changed to a seventeen-digit code and two phone companies had merged, and everyone's got new PINs with four symbols, of which two must be letters from 'g' to 'r' entered in an AZ-Max mode.'	All of the numbers, and everyone's PIN, stayed the same.	contradictory
Industry provided 470 comments, 86 were received from trade associations, 60 from environmental groups, 1,875 from private citizens, 5 from other federal agencies, 60 from state agencies, 108 from public interest groups, 18 from labor groups, 14 from universities, and 36 from associations.	Private citizens made up the bulk of the comments provided.	entailment
He mostly hangs out with a group of older, Southern black men, who call him Jumper and Black Cat.	Though he occasionally hangs out with a group of black men, they aren't who he usually likes to be with.	contradictory
She was still a mystery to Jon but her skills were never in question.	Jon didn't fully understand her.	entailment
Your job must be fun, and all the more so because you do it so well.	You must enjoy your job, given how you are good at it.	entailment
The case could be made, and Meet Joe Black could serve as Exhibit A. Pitt plays two roles in this seven course schlockfest.	The case is could be made.	entailment
But Tuppence behaved admirably.	But Tuppence was well-behaved.	entailment
right right right and it's not an easy sacrifice for a person to make because you know i you know i have interests	It's not easy to sacrifice that	entailment
In being named the original chairman of the Indiana Pro Bono Commission three years ago, he led the 21-member board to create a structure that would embrace Shepard's pro bono ideals from beginning.	The Pro Bono Commission had at least 20 members.	entailment
'Oh, great,' I rubbed my temple.	I rubbed the side of my head.	entailment
Maybe so the trunk was an army cache "Drew shook his head.	Drew shook his head.	entailment
Look, too, for Cranach's Lucryce and Le Repos de Diane, and fine French works by Ingres, Courbet, and Bonnard.	None of the French ever made work in historical times.	contradictory
you know trying to pass the time to wait till the next comedian comes up you know what i did there was a time there where i could um tape things and then i'd fast forward through the  commercials saved a lot of time that way	I'm just passing time till the next comedian comes up.	entailment
But such a step wouldn't mean Alterman and his potential spouse's taxes would go down much.	If Alterman does this, it won't affect their taxes much.	entailment
yeah i think i've seen you know commercials yeah	I've seen the commercials.	entailment
I only say that it would explain many things such as why Kitchell has not been caught." 	It would explain nothing at all about his capture.	contradictory
This was what Tuppence had been waiting for.	Tuppence had been waiting for something and this was it.	entailment
Drop me in the park, will you? 	I can get off at the park if you take me there. 	entailment
no should i rent it should i go rent it tomorrow	I don't think I'll go and rent it at all.	contradictory
they beat Duke's  ass last year	They beat Duke's ass.	entailment
As we have indicated, guidelines and best practices have been published that deal with alcohol dependence and abuse and emergency medicine.	There are no guidelines in place that deal with alcohol dependence and abuse.	contradictory
I took a sample from each cup, and had them analysed ”with no result. 	I only took a sample from one of the cups.	contradictory
Most people don't want to vote for a party that constantly succumbs to extortion from an extreme faction.	Extreme factions might extort a political party for votes.	entailment
To find your way here, you probably typed in Slate's home page URL, //www.slate.com.	You probably just googled your way to Slate's home page.	contradictory
Another of the new ideas was to set up a permanent residential capital for the imperial court, initially at Naniwa (present-day Osaka) and then a little to the east, at Nara, in 710.	A permanent residential capital for the imperial court was set up in Naniwa, then a little east in Nara, in 710.	entailment
bed throws uh-huh uh-huh	There are bed throws.	entailment
hum i don't know what the what the solution for that would have been you would have thought they would have put all the parts pertaining to that near the brake so if they did get hot they'd unfreeze	They should have put the necessary parts near the brake to unfreeze them.	entailment
2 Since 1990, the Congress and the President have taken action to eliminate the annual federal budget deficit through several initiatives including the Budget Enforcement Act of 1990, the Omnibus Budget Reconciliation Act of 1993, and the Balanced Budget Act of 1997.	Several attempts have been made to balance the federal budget.	entailment
One more thing crossed off the Things-I-Never-Wanted-To-Do list.	Just another item crossed off the list of things I never wanted to do.	entailment
Leave Parikia behind and Paroseas a number of villages to explore.	Stay in Parikia and enjoy the weather and beaches.	contradictory
Schools are a harder nut, but not an uncrackable one.	Schools are not an uncrackable nut.	entailment
One of them Yankees musta took 'em off me, thinkin' I was cashin' in m' chips.	I still have it on me, the Yankees didn't take it. 	contradictory
The town has a high percentage of Nubians in its population; these people, though fully integrated into Egyptian society, remain proud of their separate cultural identity.	A high percentage of the town's population is Nubian. 	entailment
David Lewis commented that during the last five years, patients have been bringing a great deal of information to medical encounters.	Patients have brought a lot of information to medical encounters in the last five years. 	entailment
I think that's the kind of effect Jim Lindsay has on everyone he touches.	No one has ever met Jim.	contradictory
That's what I learned in Anthropology 101 from a professor who had to be at least 110, kept on the job by tenure and a network of Teflon tubing that functioned much like an actual large intestine.	I've never studied the subject of anthropology.	contradictory
well in answer to you know answer to the question though i still think the sentencing should be in the hands of the jury even though as you say there are some uh people who are reluctant i do not think again in the matter of uh uh that that judges should have the uh the upper hand or the only hand in that sense because i think if but i i've never served on a jury you probably know this better than i um if the jury does their job and of course there are those on the jury that do not i'm sure but and ask the questions and uh correctly and then one of things i've always wondered is uh the ability of jurors to to ask questions	It's important that the judge does not have more power than the jury in terms of sentencing.	entailment
Have the threats to our security doubled since then?	Have threats increased since then?	entailment
Until the implementation of the State Planning Initiative, determining service areas in a given state was more a product of geographic and historical happenstance than a reasoned judgment about the precise configuration that would yield the best legal services system for the greatest number of clients.	The State Planning Initiative changed how service area defining was done.	entailment
The Las Vegas Thunder hockey team (which is not affiliated with any NHL franchise) competes in the Thomas and Mack Ceter.	The Las Vegas Thunder are the city's NHL team.	contradictory
just hearing what it does to the lawn i hate to even guess what the road conditions would be like in something like that	The roads must be horrible during that.	entailment
Ask to be set back as far as possible from the main road for the best views and least traffic noise.	The worst views are on the back of the property.	contradictory
Touting Forbes would hold back the McCain wave.	Forbes won't hold McCain back. 	contradictory
He outwits the psychotic assassin.	The assassin is psychotic.	entailment
The Jews are Space Aliens.	Jews are from outer space.	entailment
yeah i know uh lot of times when i was coming back home i would uh file instrument flight plan just to get into the Washington area	I often would file a flight plan to reach the Washington destination.	entailment
did you have uh very warm sleeping bag or	Were you in possession of a sleeping bag that was quite warm	entailment
A Church of England priest has ignited a furor by arguing that it's OK to shoplift from chain supermarkets because they're driving local stores out of business.	Because supermarkets drive local stores out of business, a priest believes thinks that it's fine to shoplift from them.	entailment
If not, why?	Why is that?	contradictory
Accurately measuring WTP for avoided health and welfare losses depends on the reliability and validity of the data collected.	Falsely measuring WTP.	contradictory
Spotlights exploded across my eyeballs, coming from all directions.	There were spotlights coming from all directions.	entailment
so can you dress pretty casually	The attire in this office is very strict.	contradictory
Even those with jobs are  26 percent of California workers earn poverty level wages.	No California workers make poverty level wages	contradictory
Each caste would preserve its  purity  by avoiding intermarriage and not sharing food with other castes.	Castes chose not to share their food with other castes.	entailment
that's fine that that's the freedom of choice and i i agree with that because anyone who has children that doesn't really want them isn't going to be a good parent	People who are forced to have kids they don't want make the best parents.	contradictory
It exalts states' rights while ignoring the doctrine's ugly racial legacy, and rants against the federal government while conveniently forgetting Washington's role in salvaging the region's economy with military spending and other aid.	It rants against the federal government.	entailment
'But...the two of you...' Daniel shook his head.	'But the seven of you' said Daniel.	contradictory
I forbid it.	I do not allow it.	entailment
and but there is a grass that you can use that is shade tolerant but i don't remember what it is but it's got like a boot on the front of the book	The grass I'm talking about has a shovel on the front of the book.	contradictory
Lake said Washington had gone haywire and worn out his patience and dignity.	Lake said that he would give Washington more time to think things through.	contradictory
My guess is they ain't sure.	I guess they aren't sure.	entailment
When I was twenty-three, I had been nearly all over the world. 	The speaker has never travelled outside of hte country. 	contradictory
In the 1930s Walter Knott began growing a new strain of berry, the boysenberry, and it soon became a booming enterprise.	Boysenberry is a strain of berry that Walter Knott started.	entailment
Red wasn't his real name, either, but its appropriateness was obvious.	Red was his real name.	contradictory
The only thing still standing is the entitlements middle-class voters feared they might lose to visionaries on the right or the left.	Middle-class voters thought they would lose to visionaries on either side.	entailment
To get the stationery engraved, the die plate will cost $56, about average.	The cost is neither cheap nor expensive.	entailment
It also includes providing a proper amount of supervision.	Proper levels of supervision are also included.	entailment
Instead, I now understand it's my fault.	It is not my fault.	contradictory
and that makes sense but like you said i mean it it seems simple and i think in a way it's so simple that people would be afraid to try it	It think people would be afraid to try it because it's so simple.	entailment
You've got more room to hide it in your cloth than I have." He tossed it over quickly, then dropped from sight to land on the ground below.	I'll hide it, because I have way more room in my cloth than you do.	contradictory
Combining Quantitative and Qualitative Methods in Evaluation Research.	Combining quality and quantity methods to assess research 	entailment
Bob Shannon helped free Hunt out of Mex prison in the war and was killed doing it.	Bob got Hunt out of prison.	entailment
uh-huh takes a lot of room it sure does i made mistake one year and planted some cantaloupe my goodness what a mistake that was	I mistakenly planted some cantaloupe one year.	entailment
uh part of it i	That's a bit of it.	entailment
The busiest public temple in Penang is the Kuan Yin Ten Temple, on Lebuh Pitt (Jalan Masjid Kapitan Kling), near St. George's Church.	The Kuan Ten Temple is the busiest public temple in Penang.	entailment
By his 20s, he was already striving to forge his siblings into a powerful unit, organizing his brothers and sister to confront their father with a demand that the family assets be turned over (gradually) to the next generation.	He advocated for his parents to invest in the next generation.	entailment
History lives.)	History dies. 	contradictory
yeah yeah what they were saying is that these uh people come in and they will uh they will uh live on say twenty percent of what they make and and they'll put four or five families in in one apartment	They will live on twenty percent and share space.	entailment
But on this subject, the medical profession is asleep at the switch.	The medicinal career is not progressing as it should.	entailment
We don't have to.	We do not have to.	entailment
Although the Museu da Baleia (Whale Museum) shows a video of a whale hunt in 1978, the owner is the epitome of a poacher turned gamekeeper.	The owner of the museum used to be a whale poacher.	entailment
We also compared U.S. national saving to the saving of other major industrialized nations.	The saving of the US and other nations were compared.	entailment
International cuisine with many interesting dishes; the pies are a house speciality.	They serve only Israeli food.	contradictory
John Chip Gray Jr., the project director at South Brooklyn Legal Services, and at 59 a veteran of poverty law, said he likes to find lawyers in private practice willing to scale back.	John Gray is looking for lawyers who want to ramp up their workload.	contradictory
The analysis contains tables which show the annual cost from 1998, the effective date of the rule, until the year 2051, by which the EPA expects the entire existing fleet of These engines to have been replaced, to be $15.	The analysis has tables of annual costs.	entailment
Programs and Staff	The staff only.	contradictory
